User,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Total
Hosea,2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,0,1,0,2,7,16,21,0,66
Hosea,2020-03-12,0,0,0,0,0,0,0,0,2,14,7,13,22,2,6,18,15,0,4,0,3,27,1,0,134
Hosea,2020-03-13,0,0,0,0,0,1,0,0,5,2,3,15,15,10,2,6,4,4,19,1,43,1,0,0,131
Hosea,2020-03-14,0,0,0,0,0,0,0,0,0,0,9,11,24,10,8,15,4,0,10,2,0,3,28,14,138
Hosea,2020-03-15,0,22,0,0,0,0,0,0,3,5,38,14,12,2,0,0,12,36,32,2,20,21,15,0,234
Hosea,2020-03-16,0,0,0,0,0,0,0,0,11,11,11,11,15,25,26,10,5,0,21,2,12,8,23,16,207
Hosea,2020-03-17,0,0,0,0,0,0,0,0,0,15,26,6,10,11,20,20,17,8,14,4,24,29,1,0,205
Hosea,2020-03-18,0,0,0,0,0,0,0,0,3,5,5,28,18,25,13,4,28,8,19,3,12,20,2,0,193
Hosea,2020-03-19,0,0,0,0,0,0,0,1,3,13,5,20,30,14,32,24,6,1,13,20,35,0,0,0,217
Hosea,2020-03-20,0,0,0,0,0,0,0,0,2,5,23,36,19,23,8,2,1,25,32,17,3,4,0,12,212
Hosea,2020-03-21,0,0,0,0,0,1,0,0,0,0,1,10,6,6,0,0,2,2,2,1,0,1,2,10,44
Hosea,2020-03-22,2,8,0,0,0,0,4,0,0,0,0,4,8,8,1,14,2,7,15,6,6,1,0,0,86
Hosea,2020-03-23,0,0,0,1,6,15,0,0,7,12,13,7,1,14,6,9,1,2,0,0,10,2,10,11,127
Hosea,2020-03-24,3,1,0,0,0,0,0,0,0,1,10,7,10,44,16,0,1,1,1,0,5,9,7,9,125
Hosea,2020-03-25,1,0,0,0,0,0,0,0,3,7,2,14,9,0,4,5,3,4,4,6,5,6,2,0,75
Hosea,2020-03-26,0,0,0,0,0,0,0,0,0,5,12,7,4,24,19,17,24,1,5,10,0,4,16,0,148
Hosea,2020-03-27,0,0,0,0,1,5,0,0,0,3,6,2,28,31,4,6,3,0,0,2,9,17,1,6,124
Hosea,2020-03-28,0,7,0,0,0,0,1,0,0,9,0,0,0,3,2,13,9,0,4,7,3,2,0,2,62
Hosea,2020-03-29,5,1,4,0,0,0,0,0,0,0,4,7,4,5,4,0,1,0,0,1,1,0,1,6,44
Hosea,2020-03-30,0,0,0,0,0,1,0,0,5,3,5,43,7,1,6,30,26,0,2,2,12,10,12,8,173
Hosea,2020-03-31,5,0,0,0,0,0,0,0,0,1,11,13,0,11,26,27,13,7,1,7,0,2,1,1,126
Hosea,2020-04-01,0,0,0,0,0,1,0,0,3,16,30,4,6,8,1,4,12,14,21,11,2,3,10,0,146
Hosea,2020-04-02,0,0,0,0,0,1,0,0,1,0,4,9,20,14,21,7,39,0,2,6,4,1,14,33,176
Hosea,2020-04-03,4,0,0,0,1,2,0,0,0,4,12,2,8,9,5,2,11,1,0,0,0,0,0,0,61
Hosea,2020-04-06,0,0,0,0,0,0,0,0,0,0,0,11,18,25,16,27,21,2,3,9,0,0,0,0,132
Hosea,2020-04-07,0,9,54,1,0,0,0,0,0,6,3,9,18,22,0,13,1,14,14,21,6,24,12,0,227
Hosea,2020-04-08,0,2,0,0,0,0,0,0,1,4,51,45,29,24,23,0,1,24,4,3,10,7,6,11,245
Hosea,2020-04-09,1,0,0,0,0,10,4,0,1,10,15,6,20,18,3,4,22,18,0,1,0,0,2,0,135
Hosea,2020-04-10,0,0,0,0,13,52,0,0,0,2,16,22,1,10,12,27,2,5,2,6,8,14,25,5,222
Hosea,2020-04-11,3,0,0,0,2,2,1,0,3,3,0,1,3,4,2,6,15,7,12,12,4,28,1,2,111
Hosea,2020-04-12,4,0,0,0,0,0,0,0,0,1,0,0,0,2,2,4,20,23,5,0,3,9,2,19,94
Hosea,2020-04-13,8,0,0,0,0,1,15,0,0,1,7,5,8,17,23,15,19,4,11,2,2,0,7,1,146
Hosea,2020-04-14,1,0,0,0,0,1,0,0,0,0,13,18,21,66,0,9,3,12,11,3,6,4,10,24,202
Hosea,2020-04-15,0,0,0,0,3,0,0,1,5,13,28,28,30,28,29,0,8,49,38,4,16,9,5,7,301
Hosea,2020-04-16,1,0,0,0,0,0,0,0,0,2,6,6,15,0,0,10,18,25,9,5,2,0,2,0,101
Hosea,2020-04-17,0,1,0,2,0,0,0,0,0,6,31,6,13,13,7,3,8,6,6,0,0,0,7,5,114
Hosea,2020-04-18,2,0,0,0,0,1,5,0,0,1,6,8,5,3,4,1,1,25,9,6,6,1,0,0,84
Hosea,2020-04-19,0,0,0,0,1,0,0,0,0,0,0,6,9,7,3,6,15,4,25,4,10,1,0,2,93
Hosea,2020-04-20,8,0,0,0,0,0,0,0,0,0,2,20,23,9,1,3,23,4,3,1,2,6,14,8,127
Hosea,2020-04-21,7,0,0,0,0,0,0,0,3,4,11,13,4,7,1,19,31,11,27,9,0,3,9,50,209
Hosea,2020-04-22,0,0,0,0,0,0,0,0,0,3,0,12,10,4,6,0,4,0,0,4,5,5,0,10,63
Hosea,2020-04-23,54,0,0,0,0,0,0,0,0,2,9,6,40,16,0,36,11,0,41,18,16,7,4,0,260
Hosea,2020-04-24,0,0,0,0,0,0,0,4,0,2,8,45,11,32,24,1,23,7,16,7,5,2,0,0,187
Hosea,2020-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,14,21
Hosea,2020-04-28,6,0,0,0,0,0,0,0,4,21,52,26,16,29,17,1,0,2,2,12,21,6,11,0,226
Hosea,2020-04-29,3,0,0,0,1,2,6,0,0,0,1,0,2,7,8,14,37,16,9,8,5,2,21,13,155
Hosea,2020-04-30,3,0,0,0,0,1,0,0,2,2,3,5,5,3,37,19,2,0,14,13,8,7,0,6,130
Hosea,2020-05-01,3,0,0,0,0,0,0,3,0,0,2,4,3,11,0,17,16,7,15,4,0,0,12,5,102
Hosea,2020-05-02,6,0,0,0,0,0,0,0,0,7,2,6,14,4,17,8,14,10,4,6,10,11,10,14,143
Hosea,2020-05-03,1,0,0,0,0,0,2,0,15,2,5,2,0,5,14,0,12,8,0,2,3,1,23,0,95
Hosea,2020-05-04,0,0,0,0,0,0,0,0,2,3,1,1,9,6,45,8,14,3,15,22,23,22,11,29,214
Hosea,2020-05-05,0,0,0,0,0,0,3,5,0,5,14,19,14,18,0,12,14,3,7,15,17,12,1,1,160
Hosea,2020-05-06,0,0,0,0,6,9,0,0,5,36,4,4,14,30,0,0,0,18,15,31,20,4,0,0,196
Hosea,2020-05-07,5,1,0,0,0,0,0,0,4,5,0,35,30,13,2,1,4,6,5,16,18,0,0,0,145
Hosea,2020-05-08,0,1,9,0,0,0,0,0,0,4,26,10,20,1,14,5,0,0,26,9,20,5,12,0,162
Hosea,2020-05-09,0,0,0,0,0,0,0,0,0,0,3,10,3,3,7,25,16,3,14,12,6,4,24,1,131
Hosea,2020-05-10,0,0,0,0,0,0,0,0,3,3,6,8,6,4,3,11,7,5,6,2,0,3,0,0,67
Hosea,2020-05-11,0,0,1,0,0,0,0,0,2,1,0,4,10,28,6,16,4,24,14,7,31,22,38,0,208
Hosea,2020-05-12,0,0,0,0,0,0,0,2,5,5,7,25,30,22,25,0,5,5,6,15,15,65,12,0,244
Hosea,2020-05-13,0,0,0,0,0,1,0,0,11,5,6,6,1,24,24,16,15,42,1,3,1,1,8,1,166
Hosea,2020-05-14,0,0,0,1,5,0,0,0,2,2,10,4,42,26,10,16,7,14,24,2,4,4,1,3,177
Hosea,2020-05-15,0,0,0,0,4,0,0,0,0,0,21,10,10,22,28,2,7,13,6,16,19,13,6,5,182
Hosea,2020-05-16,0,0,0,0,0,0,0,0,4,0,9,4,0,4,18,6,0,0,2,2,0,0,0,0,49
