User,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Total
Fat Mac,2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,14
Fat Mac,2020-03-12,0,10,0,0,0,0,0,0,0,1,1,0,13,0,19,3,3,0,0,0,0,0,0,1,51
Fat Mac,2020-03-13,0,0,0,0,0,0,0,0,1,0,0,1,0,26,2,11,0,0,0,0,0,0,0,1,42
Fat Mac,2020-03-15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4
Fat Mac,2020-03-16,8,3,0,0,0,0,0,0,0,7,7,1,0,0,0,0,13,0,0,0,0,0,0,14,53
Fat Mac,2020-03-17,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,10
Fat Mac,2020-03-18,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Fat Mac,2020-03-19,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Fat Mac,2020-03-20,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,0,1,0,0,0,9
Fat Mac,2020-03-21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Fat Mac,2020-03-22,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Fat Mac,2020-03-23,0,3,0,0,0,0,0,0,0,4,51,8,0,0,0,0,0,0,0,0,0,0,10,6,82
Fat Mac,2020-03-24,0,0,0,0,0,0,0,0,0,9,6,18,0,1,0,1,1,0,0,0,0,0,1,2,39
Fat Mac,2020-03-25,0,0,0,0,0,0,0,0,0,5,16,15,0,0,1,0,2,3,2,0,0,0,0,0,44
Fat Mac,2020-03-26,2,0,0,0,0,0,0,0,0,3,13,0,0,0,1,7,1,0,0,1,2,0,0,0,30
Fat Mac,2020-03-27,0,0,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6
Fat Mac,2020-03-28,0,0,0,0,0,0,0,0,0,16,10,0,0,0,0,0,0,4,0,0,0,0,0,0,30
Fat Mac,2020-03-29,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,5
Fat Mac,2020-03-30,0,0,0,0,0,0,0,0,0,0,4,2,3,0,0,0,0,0,0,0,0,0,0,12,21
Fat Mac,2020-03-31,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,6
Fat Mac,2020-04-01,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,7,9,19
Fat Mac,2020-04-02,0,0,0,0,0,0,0,1,0,1,5,0,0,0,2,11,19,0,0,0,0,0,0,0,39
Fat Mac,2020-04-03,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11
Fat Mac,2020-04-06,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Fat Mac,2020-04-07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,1,0,0,0,0,0,0,0,10
Fat Mac,2020-04-08,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3
Fat Mac,2020-04-09,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,16,0,0,0,24
Fat Mac,2020-04-10,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,6
Fat Mac,2020-04-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Fat Mac,2020-04-13,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,6,3,0,0,0,0,0,0,0,15
Fat Mac,2020-04-15,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Fat Mac,2020-04-16,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,7
Fat Mac,2020-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
Fat Mac,2020-04-19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,8
Fat Mac,2020-04-20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,4
Fat Mac,2020-04-21,1,0,0,0,0,0,0,0,0,5,0,16,0,0,0,0,1,0,0,0,0,0,0,0,23
Fat Mac,2020-04-22,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Fat Mac,2020-04-23,62,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,31,15,7,146
Fat Mac,2020-04-24,0,0,0,0,0,0,0,0,0,0,1,5,3,8,0,0,0,0,0,0,0,0,0,0,17
Fat Mac,2020-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
Fat Mac,2020-04-28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Fat Mac,2020-04-29,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
Fat Mac,2020-05-01,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5
Fat Mac,2020-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Fat Mac,2020-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
Fat Mac,2020-05-04,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
Fat Mac,2020-05-05,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Fat Mac,2020-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
Fat Mac,2020-05-07,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Fat Mac,2020-05-08,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7
Fat Mac,2020-05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Fat Mac,2020-05-10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
Fat Mac,2020-05-11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
Fat Mac,2020-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
Fat Mac,2020-05-13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
Fat Mac,2020-05-14,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,14,0,0,0,0,1,19
Fat Mac,2020-05-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
Fat Mac,2020-05-16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5
Fat Mac,2020-05-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fat Mac,2020-05-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Fat Mac,2020-05-29,1,7,10,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,25
Fat Mac,2020-05-30,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Fat Mac,2020-05-31,2,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,11,18
Fat Mac,2020-06-01,0,0,0,0,0,0,0,0,0,3,13,0,0,1,1,0,0,3,0,0,0,0,0,8,29
Fat Mac,2020-06-02,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Fat Mac,2020-06-06,0,0,0,0,0,0,0,1,1,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,10
Fat Mac,2020-06-07,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Fat Mac,2020-06-10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
Fat Mac,2020-06-11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
Fat Mac,2020-06-15,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
