User,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Total
Hiten,2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,3,6,2,42,0,5,67
Hiten,2020-03-12,6,0,0,0,0,0,0,0,4,14,7,4,21,7,8,24,15,0,6,8,29,11,0,3,167
Hiten,2020-03-13,2,0,0,0,0,0,0,2,10,1,1,18,3,10,4,8,8,17,4,2,62,17,6,0,175
Hiten,2020-03-14,5,5,0,0,0,0,0,0,0,0,11,29,47,23,4,29,16,37,12,1,5,12,31,3,270
Hiten,2020-03-15,10,2,0,0,0,0,0,0,0,13,22,26,6,3,3,2,2,14,5,26,15,38,4,2,193
Hiten,2020-03-16,0,0,0,0,0,0,0,1,11,24,9,19,13,25,43,28,26,1,14,29,49,24,0,0,316
Hiten,2020-03-17,1,0,0,0,0,0,0,0,0,8,29,3,0,11,14,32,30,8,10,9,5,12,11,2,185
Hiten,2020-03-18,0,0,0,0,0,0,0,0,19,6,4,1,12,10,29,62,9,10,13,3,14,13,1,0,206
Hiten,2020-03-19,22,0,0,0,0,0,0,1,3,11,9,11,2,32,48,31,6,6,26,11,65,3,2,0,289
Hiten,2020-03-20,1,0,0,0,0,0,0,0,4,3,12,34,24,55,4,17,6,6,8,12,7,19,4,17,233
Hiten,2020-03-21,3,0,0,0,0,0,0,0,0,0,5,29,11,5,11,2,4,0,8,4,2,1,2,0,87
Hiten,2020-03-22,3,1,0,0,0,0,0,0,3,0,0,9,9,22,12,13,1,0,4,11,6,2,17,2,115
Hiten,2020-03-23,4,0,0,0,0,0,0,1,2,2,10,19,40,24,2,0,17,20,16,0,10,10,46,14,237
Hiten,2020-03-24,0,0,0,0,0,0,0,0,0,5,16,1,18,14,67,15,22,21,18,1,2,15,2,0,217
Hiten,2020-03-25,1,0,0,0,0,0,0,0,11,11,12,52,53,15,2,0,13,0,0,7,2,0,0,23,202
Hiten,2020-03-26,2,0,0,0,0,0,0,0,4,5,9,17,8,19,40,26,16,9,0,5,6,1,2,84,253
Hiten,2020-03-27,30,0,0,0,0,0,0,0,5,0,3,16,48,29,13,11,4,17,9,1,18,8,2,40,254
Hiten,2020-03-28,17,0,0,0,0,0,0,0,1,3,0,0,32,4,13,24,8,3,7,11,13,10,2,20,168
Hiten,2020-03-29,3,0,0,0,0,0,0,0,0,3,4,86,55,52,19,9,4,3,1,38,77,2,5,8,369
Hiten,2020-03-30,0,0,0,0,0,0,0,0,3,19,9,22,8,4,51,36,18,18,24,0,10,20,22,43,307
Hiten,2020-03-31,0,0,0,0,0,0,0,1,0,5,6,5,14,41,9,39,27,0,1,2,11,0,26,50,237
Hiten,2020-04-01,0,0,0,0,0,0,0,0,5,13,26,29,18,27,5,5,21,3,5,31,6,42,22,82,340
Hiten,2020-04-02,4,0,0,0,0,0,0,0,4,14,13,10,16,0,8,19,5,26,1,8,3,10,15,50,206
Hiten,2020-04-03,15,0,0,0,0,0,0,3,0,25,3,0,0,3,23,8,19,0,0,0,0,0,0,0,99
Hiten,2020-04-06,0,0,0,0,0,0,0,0,0,0,0,0,17,33,7,29,12,1,7,1,0,1,46,19,173
Hiten,2020-04-07,0,0,0,0,0,0,0,0,1,29,1,7,15,22,2,34,1,2,9,6,15,34,2,11,191
Hiten,2020-04-08,0,0,0,0,0,0,0,0,1,9,12,12,16,28,15,2,2,0,0,14,1,8,21,2,143
Hiten,2020-04-09,0,0,0,0,0,0,0,1,2,5,2,8,5,45,1,3,11,1,8,15,3,0,6,13,129
Hiten,2020-04-10,7,1,0,0,0,0,0,0,1,0,8,70,9,8,5,0,4,3,2,4,11,12,10,10,165
Hiten,2020-04-11,1,0,0,0,0,0,0,0,0,0,0,6,5,4,2,16,10,8,5,35,16,8,17,1,134
Hiten,2020-04-12,0,0,0,0,0,0,0,0,0,2,20,17,8,2,0,5,3,32,2,5,1,0,10,55,162
Hiten,2020-04-13,9,0,0,0,0,0,0,2,0,6,2,21,0,0,0,0,0,0,0,0,0,0,0,0,40
