User,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Total
wlof aubro,2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,41,0,2,3,4,36,5,0,107
wlof aubro,2020-03-12,0,0,0,0,0,0,0,0,7,17,28,22,13,2,0,0,0,6,21,1,0,6,0,0,123
wlof aubro,2020-03-13,0,0,0,0,0,0,0,0,2,0,19,18,10,0,25,0,1,27,63,10,66,9,0,0,250
wlof aubro,2020-03-14,0,0,0,0,0,0,0,0,0,0,8,21,45,25,0,14,4,16,28,15,16,38,2,1,233
wlof aubro,2020-03-15,0,0,0,0,4,0,0,0,0,8,28,17,21,13,3,3,15,22,34,4,20,5,0,0,197
wlof aubro,2020-03-16,0,0,0,0,0,0,0,0,4,4,8,36,29,46,37,9,12,1,27,73,11,43,14,0,354
wlof aubro,2020-03-17,0,0,0,0,0,0,0,0,4,16,30,11,3,6,17,26,23,6,10,7,1,9,0,0,169
wlof aubro,2020-03-18,0,0,0,0,0,0,0,2,12,2,0,34,25,7,17,23,14,15,14,4,33,32,3,0,237
wlof aubro,2020-03-19,0,0,0,0,0,0,1,3,3,14,7,1,9,8,74,41,41,10,40,12,13,8,2,0,287
wlof aubro,2020-03-20,0,0,0,0,0,0,0,0,1,10,26,4,30,20,11,39,37,45,36,15,18,4,0,0,296
wlof aubro,2020-03-21,0,0,0,0,2,0,0,0,1,0,9,62,20,11,8,4,31,2,0,16,35,21,0,0,222
wlof aubro,2020-03-22,0,0,0,0,0,0,0,0,1,0,0,6,4,0,4,19,0,15,9,15,2,4,0,0,79
wlof aubro,2020-03-23,0,0,0,0,0,0,0,0,10,3,6,9,21,2,5,6,4,46,4,0,11,7,4,0,138
wlof aubro,2020-03-24,0,0,0,0,0,0,0,0,0,8,39,39,73,6,4,1,0,2,28,0,8,17,3,1,229
wlof aubro,2020-03-25,0,0,0,0,0,0,0,0,27,17,3,1,0,2,5,5,0,1,2,7,0,6,0,0,76
wlof aubro,2020-03-26,0,0,0,0,0,0,0,5,0,17,28,13,4,12,0,2,9,11,3,0,0,1,71,81,257
wlof aubro,2020-03-27,41,0,0,0,0,0,0,1,1,2,0,9,51,15,4,11,0,8,2,1,30,39,0,0,215
wlof aubro,2020-03-28,0,0,0,0,0,0,0,0,4,15,15,23,57,3,43,45,11,16,24,14,33,15,1,5,324
wlof aubro,2020-03-29,0,0,0,0,0,0,0,0,1,64,1,21,21,9,0,12,0,3,9,2,27,10,4,0,184
wlof aubro,2020-03-30,0,0,0,0,0,0,0,5,3,18,5,2,4,7,23,16,10,2,16,6,8,50,7,0,182
wlof aubro,2020-03-31,0,0,0,0,0,0,0,1,2,3,41,4,0,3,4,2,9,4,0,17,3,0,4,11,108
wlof aubro,2020-04-01,0,0,0,0,0,0,0,1,0,6,2,14,3,0,0,19,19,16,18,17,1,23,18,0,157
wlof aubro,2020-04-02,0,0,0,0,0,0,0,0,2,24,14,5,21,50,9,7,10,8,2,16,30,10,3,1,212
wlof aubro,2020-04-03,0,0,0,0,0,0,0,0,0,15,26,1,2,10,35,15,9,9,0,0,0,0,0,0,122
wlof aubro,2020-04-06,0,0,0,0,0,0,0,0,0,0,0,6,0,6,7,17,5,1,10,9,4,0,44,12,121
wlof aubro,2020-04-07,0,0,0,0,0,0,0,0,8,30,5,11,0,6,4,0,27,12,1,24,5,31,17,10,191
wlof aubro,2020-04-08,0,0,0,0,0,0,0,0,6,21,45,20,0,1,6,4,3,8,1,0,0,7,0,0,122
wlof aubro,2020-04-09,0,0,0,0,0,0,0,0,2,0,10,7,3,8,19,7,18,6,7,15,34,4,7,1,148
wlof aubro,2020-04-10,0,0,0,0,0,0,0,0,6,2,4,40,20,1,15,36,0,1,1,10,15,3,7,0,161
wlof aubro,2020-04-11,0,0,0,0,4,0,0,0,3,0,1,2,1,10,10,15,8,6,7,24,3,17,24,5,140
wlof aubro,2020-04-12,0,0,0,0,0,0,0,0,0,1,16,17,13,2,0,16,0,3,16,13,0,5,7,7,116
wlof aubro,2020-04-13,3,0,0,0,0,0,0,0,0,3,4,19,6,1,10,11,59,9,3,0,7,0,23,2,160
wlof aubro,2020-04-14,0,0,0,0,0,0,0,0,0,1,4,17,20,0,4,2,1,6,11,4,0,33,3,0,106
wlof aubro,2020-04-15,0,0,0,0,0,0,0,2,5,3,16,23,52,29,28,7,7,36,3,0,16,2,6,1,236
wlof aubro,2020-04-16,0,0,0,0,0,0,0,0,1,4,2,4,15,0,12,2,3,34,0,6,5,4,5,0,97
wlof aubro,2020-04-17,0,0,0,0,0,0,0,0,1,5,74,35,27,1,1,2,7,10,2,10,23,4,2,0,204
wlof aubro,2020-04-18,1,0,0,0,0,0,0,0,0,0,6,4,0,11,29,7,4,67,7,22,45,13,0,0,216
wlof aubro,2020-04-19,0,0,0,0,0,0,0,0,0,0,4,41,40,2,1,2,7,1,42,6,15,2,2,2,167
wlof aubro,2020-04-20,0,0,0,0,0,0,0,0,0,2,10,8,0,1,7,6,17,13,0,2,1,5,0,0,72
wlof aubro,2020-04-21,0,0,0,0,0,0,0,2,2,9,5,6,2,46,4,0,11,11,10,10,7,0,0,38,163
wlof aubro,2020-04-22,0,0,0,0,0,0,0,0,0,11,28,11,0,0,9,7,0,4,0,0,7,0,0,0,77
wlof aubro,2020-04-23,0,0,0,0,0,0,0,1,1,52,29,21,8,11,38,5,11,0,19,4,0,9,1,0,210
wlof aubro,2020-04-24,0,0,0,0,0,0,0,2,1,16,2,39,12,10,7,17,3,19,1,8,6,0,0,0,143
