User,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Total
Barinade88,2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,10,2,2,33,43,1,113
Barinade88,2020-03-12,0,4,0,0,0,0,0,1,0,0,0,21,24,3,0,12,9,1,6,0,7,32,2,0,122
Barinade88,2020-03-13,0,0,1,0,0,0,0,0,1,0,5,35,18,16,7,23,9,13,18,0,0,0,0,0,146
Barinade88,2020-03-16,0,0,0,0,0,0,0,0,17,27,14,0,7,55,51,9,26,0,37,6,0,0,36,29,314
Barinade88,2020-03-17,0,0,0,0,0,0,0,0,0,0,23,0,12,1,23,21,17,0,16,3,28,25,0,0,169
Barinade88,2020-03-18,0,0,0,0,0,0,0,0,6,4,12,41,12,25,10,28,0,4,11,3,0,36,0,12,204
Barinade88,2020-03-19,8,0,0,0,0,0,0,0,0,7,11,28,51,11,2,0,4,8,12,5,0,0,0,0,147
Barinade88,2020-03-20,6,0,0,0,0,0,0,0,1,0,30,50,0,2,0,3,0,0,0,0,0,0,0,0,92
Barinade88,2020-03-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Barinade88,2020-03-23,0,0,1,1,5,9,0,0,0,8,16,15,42,31,17,46,16,25,25,0,14,14,18,6,309
Barinade88,2020-03-24,0,0,0,0,0,0,0,0,0,0,0,5,1,46,7,1,0,0,0,4,14,21,2,0,101
Barinade88,2020-03-25,0,0,0,2,0,0,0,0,0,0,5,15,23,1,0,1,0,0,0,0,0,0,0,0,47
Barinade88,2020-03-26,5,3,0,0,0,0,0,0,0,1,0,0,0,40,50,50,55,18,11,17,0,0,0,0,250
Barinade88,2020-03-27,0,0,0,0,0,0,0,0,0,0,1,0,34,33,5,13,14,15,6,0,0,0,0,0,121
Barinade88,2020-03-30,0,0,0,0,0,0,0,0,0,0,1,42,9,2,0,55,26,4,2,0,2,13,25,0,181
Barinade88,2020-03-31,0,3,0,0,0,0,0,0,0,0,5,7,11,26,48,36,7,0,2,0,0,0,2,0,147
Barinade88,2020-04-01,1,0,0,0,2,1,2,4,6,25,34,0,0,45,0,0,0,0,0,0,0,1,0,0,121
Barinade88,2020-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,10,0,0,0,0,0,13,33,70
Barinade88,2020-04-03,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
